economy,year,dpi_adoption_v2,dpi_impact_v2,dpi_readiness_v2,dpi_composite_v2,dpi_utilization_efficiency,equity_score,inclusion_penalty,dpi_inclusion_adjusted_v2,risk_score,risk_factor,dpi_risk_adjusted_v2,expected_indicator_points_year,observed_indicator_points,imputed_indicator_points,coverage_ratio,imputation_share,dpi_confidence_score,confidence_tier,rank_v2
Mexico,2025,70.64270978542255,,61.03404325679335,64.47373716809217,115.74312632083361,,0.0,64.47373716809217,64.26071515238904,0.892782145457167,57.56100139457082,8,5,0.0,0.625,0.0,73.75,Medium,33.0
Netherlands,2025,54.41507781316157,,79.26292774417915,68.8356692439887,68.65135992552037,,0.0,68.8356692439887,79.22425199987082,0.9376727559996124,64.54533169108865,8,5,0.0,0.625,0.0,73.75,Medium,28.0
New Zealand,2025,72.28240909083475,,84.61628965082753,79.76198770296851,85.4237516075344,,0.0,79.76198770296851,80.55564940882358,0.9416669482264707,75.10922754473164,8,5,0.0,0.625,0.0,73.75,Medium,18.0
Nigeria,2025,6.15171861033944,,0.04523317613361352,0.2854528283528522,200.0,,0.0,0.2854528283528522,6.181874061095183,0.7185456221832855,0.20511088015277879,8,5,0.0,0.625,0.0,73.75,Medium,47.0
Norway,2025,53.608501301215576,,62.84252879263394,59.20674120808122,85.30608543477211,,0.0,59.20674120808122,61.1808495840338,0.8835425487521014,52.31167503029415,8,5,0.0,0.625,0.0,73.75,Medium,37.0
Pakistan,2025,41.848909753150174,,27.096549890202247,31.893545707363838,154.44368350482208,,0.0,31.893545707363838,30.5650703455253,0.7916952110365758,25.24996739949609,8,5,0.0,0.625,0.0,73.75,Medium,42.0
Peru,2025,89.50840665124554,,88.7279251086953,89.0198049611326,100.87963461513849,,0.0,89.0198049611326,86.86067217726395,0.9605820165317918,85.51082376083156,8,5,0.0,0.625,0.0,73.75,Medium,9.0
Philippines,2025,43.91733685328861,,45.380400711392504,44.82612550518795,96.77600057476663,,0.0,44.82612550518795,45.02910698602963,0.8350873209580889,37.433729057058464,8,5,0.0,0.625,0.0,73.75,Medium,39.0
Poland,2025,38.160603766591265,,38.28723857386108,38.23970134974431,99.6692506119878,,0.0,38.23970134974431,36.94311607701642,0.8108293482310492,31.00587212196315,8,5,0.0,0.625,0.0,73.75,Medium,41.0
Portugal,2025,85.93864384859215,,86.90945899113242,86.54412473690083,98.88295801882815,,0.0,86.54412473690083,83.39308586645254,0.9501792575993575,82.23243219209462,8,5,0.0,0.625,0.0,73.75,Medium,12.0
Romania,2025,19.479740837760787,,17.86368194651198,18.45336413266947,109.04661701931137,,0.0,18.45336413266947,21.52183085520903,0.764565492565627,14.108805437587309,8,5,0.0,0.625,0.0,73.75,Medium,46.0
Russian Federation,2025,96.16649237028192,,96.43411835493387,96.33367144196679,99.72247790593478,,0.0,96.33367144196679,95.37306186050552,0.9861191855815166,94.99648162642968,8,5,0.0,0.625,0.0,73.75,Medium,4.0
Saudi Arabia,2025,100.0,,100.0,100.00000000000004,100.0,,0.0,100.00000000000004,100.0,1.0,100.00000000000004,8,5,0.0,0.625,0.0,73.75,Medium,1.0
Singapore,2025,89.10454412507183,,92.03407075002877,90.92437815522057,96.81691073633615,,0.0,90.92437815522057,86.38869822564656,0.9591660946769396,87.21158070607214,8,5,0.0,0.625,0.0,73.75,Medium,7.0
South Africa,2025,23.34638087593007,,18.344781792055898,20.08064605720708,127.26442396845565,,0.0,20.08064605720708,27.9548935216179,0.7838646805648537,15.740509207168516,8,5,0.0,0.625,0.0,73.75,Medium,45.0
Spain,2025,78.17225425017214,,87.59620891784937,83.93595916945098,89.24159528808454,,0.0,83.93595916945098,88.98763481569966,0.9669629044470989,81.16295886604543,8,5,0.0,0.625,0.0,73.75,Medium,14.0
Sweden,2025,57.31537963745749,,63.76179418278093,61.263530493176866,89.8898476306297,,0.0,61.263530493176866,60.23202846371796,0.8806960853911538,53.95455148258245,8,5,0.0,0.625,0.0,73.75,Medium,36.0
Switzerland,2025,58.71615261049987,79.03076315384783,67.69376156366903,66.90534831219969,86.73790797586966,,0.0,66.90534831219969,62.387678538687,0.8871630356160609,59.355951907600975,8,7,0.0,0.875,0.0,91.24999999999999,High,30.0
Thailand,2025,67.61099439658206,,75.53471699603807,72.45996589299496,89.5098268523709,,0.0,72.45996589299496,68.7458981256048,0.9062376943768143,65.66595242549036,8,5,0.0,0.625,0.0,73.75,Medium,25.0
Türkiye,2025,70.18027239635624,,56.854752106337344,61.5261691340245,123.43783025400538,,0.0,61.5261691340245,64.50556999892065,0.8935167099967619,54.97466022333789,8,5,0.0,0.625,0.0,73.75,Medium,35.0
United Arab Emirates,2025,89.3901740172546,,86.16617877454865,87.36132042194124,103.74160173812677,,0.0,87.36132042194124,84.45654999384233,0.953369649981527,83.28763147259015,8,5,0.0,0.625,0.0,73.75,Medium,11.0
United Kingdom,2025,70.91902541031604,63.91926833866336,85.27309815256577,76.16601040077416,83.16693886673586,,0.0,76.16601040077416,71.37440639988657,0.9141232191996597,69.62511862115043,8,7,0.0,0.875,0.0,91.24999999999999,High,22.0
United States,2025,,71.86109112743698,,71.86109112743695,,,0.0,71.86109112743695,,0.7,50.30276378920586,8,2,0.0,0.25,0.0,47.5,Low,26.0
