economy,year,social_foundation_score,ecological_ceiling_score,social_dimension_coverage,ecological_dimension_coverage,doughnut_score,green_transition_actions_score,green_expected_2030_path,green_distance_to_target
India,1988,,94.73086548433523,,0.16666666666666666,5.269134515664774,94.73086548433523,92.71133501845219,2.0195304658830366
India,1989,,94.32499745043363,,0.16666666666666666,5.675002549566372,94.32499745043363,92.40868418467952,1.9163132657541126
India,1990,,93.99706041045519,,0.16666666666666666,6.002939589544809,93.99706041045519,92.10603335090684,1.8910270595483496
India,1991,,93.50670886405031,,0.16666666666666666,6.49329113594969,93.50670886405031,91.80338251713417,1.7033263469161426
India,1992,,93.25695936221861,,0.16666666666666666,6.743040637781391,93.25695936221861,91.5007316833615,1.7562276788571154
India,1993,,92.93408617196579,,0.16666666666666666,7.065913828034212,92.93408617196579,91.19808084958883,1.736005322376954
India,1994,,81.9164811546464,,0.16666666666666666,18.083518845353595,81.9164811546464,90.89543001581616,-8.978948861169755
India,1995,,91.89652143093478,,0.16666666666666666,8.103478569065217,91.89652143093478,90.59277918204349,1.3037422488912966
India,1996,,91.49904985411949,,0.16666666666666666,8.500950145880509,91.49904985411949,90.29012834827081,1.2089215058486786
India,1997,,91.02486435907704,,0.16666666666666666,8.975135640922957,91.02486435907704,89.98747751449814,1.0373868445789043
India,1998,,90.77899267988951,,0.16666666666666666,9.221007320110488,90.77899267988951,89.68482668072548,1.0941659991640336
India,1999,,90.12447906522952,,0.16666666666666666,9.875520934770478,90.12447906522952,89.3821758469528,0.7423032182767173
India,2000,,78.18274166717086,,0.16666666666666666,21.81725833282914,78.18274166717086,89.07952501318013,-10.896783346009272
India,2001,,89.57291889919443,,0.16666666666666666,10.427081100805566,89.57291889919443,88.77687417940746,0.7960447197869769
India,2002,,89.16425185631861,,0.16666666666666666,10.835748143681386,89.16425185631861,88.47422334563478,0.6900285106838311
India,2003,,88.82165087989928,,0.16666666666666666,11.17834912010072,88.82165087989928,88.17157251186211,0.6500783680371711
India,2004,,87.90914866299714,,0.16666666666666666,12.09085133700286,87.90914866299714,87.86892167808945,0.040226984907690166
India,2005,,87.37618320901171,,0.16666666666666666,12.623816790988286,87.37618320901171,87.56627084431678,-0.190087635305062
India,2006,,86.49684769898994,,0.16666666666666666,13.503152301010061,86.49684769898994,87.2636200105441,-0.7667723115541634
India,2007,,85.25660716121575,,0.16666666666666666,14.743392838784246,85.25660716121575,86.96096917677143,-1.7043620155556738
