economy,year,dpi_score,yoy_change,yoy_pct_change,trend_slope
Iraq,2024,0.530337603584821,0.09790540120217672,22.640636072598415,0.2473029883788315
Iraq,2025,6.900742899104415,6.3704052955195944,1201.19811464599,0.2473029883788315
Ireland,2014,13.512824419148304,,,4.032815260242364
Ireland,2015,14.684380496504785,1.171556077356481,8.669957079412143,4.032815260242364
Ireland,2016,17.749759103089566,3.0653786065847815,20.875096551157952,4.032815260242364
Ireland,2017,18.420788606859432,0.6710295037698657,3.7804992162009943,4.032815260242364
Ireland,2018,21.638928041787462,3.2181394349280303,17.470150185262305,4.032815260242364
Ireland,2019,24.556423656920906,2.9174956151334435,13.482625430887317,4.032815260242364
Ireland,2020,31.910421422419734,7.353997765498828,29.947348474850898,4.032815260242364
Ireland,2021,34.17274645103393,2.262325028614196,7.089611881542636,4.032815260242364
Ireland,2022,18.679410072268382,-15.493336378765548,-45.33828266032384,4.032815260242364
Ireland,2023,35.95744783079666,17.278037758528278,92.49776995998073,4.032815260242364
Ireland,2024,38.42948019405434,2.472032363257682,6.874882708278444,4.032815260242364
Ireland,2025,83.14708675888721,44.71760656483287,116.3627671751631,4.032815260242364
Israel,2014,6.410243202202029,,,1.3169133900453571
Israel,2015,5.385839794286961,-1.0244034079150675,-15.980726091065739,1.3169133900453571
Israel,2016,5.5270503033909915,0.1412105091040301,2.6218846920366885,1.3169133900453571
Israel,2017,6.198452406679696,0.6714021032887043,12.147566358800486,1.3169133900453571
Israel,2018,7.3661254966503265,1.1676730899706307,18.838139157320953,1.3169133900453571
Israel,2019,7.3965178808251455,0.030392384174819043,0.4125966111850753,1.3169133900453571
Israel,2020,39.731313718416054,32.33479583759091,437.16241018515166,1.3169133900453571
Israel,2021,7.203170200856731,-32.52814351755932,-81.87029441838477,1.3169133900453571
Israel,2022,26.505429397796096,19.302259196939364,267.9689450437196,1.3169133900453571
Israel,2023,8.749897167922326,-17.755532229873772,-66.98828365840446,1.3169133900453571
Israel,2024,8.587028680288915,-0.16286848763341055,-1.8613760197147995,1.3169133900453571
Israel,2025,23.854405622332685,15.26737694204377,177.79580703030902,1.3169133900453571
Italy,2014,39.61984774543478,,,3.0354902333939267
Italy,2015,32.58680147048695,-7.033046274947836,-17.751320802988754,3.0354902333939267
Italy,2016,33.51607736059948,0.9292758901125353,2.8516940852699437,3.0354902333939267
Italy,2017,36.530817385032506,3.0147400244330242,8.994907106811564,3.0354902333939267
Italy,2018,45.53547401544963,9.004656630417124,24.649480288132107,3.0354902333939267
Italy,2019,43.84945064479845,-1.6860233706511778,-3.7026590962446786,3.0354902333939267
Italy,2020,57.39961429313402,13.55016364833557,30.901558512325238,3.0354902333939267
Italy,2021,41.06961069106056,-16.33000360207346,-28.449674798645486,3.0354902333939267
Italy,2022,57.654535575831275,16.584924884770714,40.382474062216225,3.0354902333939267
Italy,2023,56.57654438747954,-1.0779911883517386,-1.8697422112331288,3.0354902333939267
Italy,2024,58.34911206340678,1.7725676759272417,3.1330433753382674,3.0354902333939267
Italy,2025,73.17393661789387,14.824824554487094,25.407112516771914,3.0354902333939267
Japan,2014,18.728711308538962,,,3.5699551933706744
Japan,2015,18.338807384263657,-0.3899039242753055,-2.0818513236281078,3.5699551933706744
Japan,2016,18.295415956872652,-0.0433914273910041,-0.23660986498084843,3.5699551933706744
Japan,2017,20.260134858090197,1.9647189012175446,10.738858880546523,3.5699551933706744
Japan,2018,21.795294898584732,1.5351600404945351,7.577244925798316,3.5699551933706744
Japan,2019,21.155140960547776,-0.6401539380369563,-2.9371198738794053,3.5699551933706744
Japan,2020,55.19570777745937,34.04056681691159,160.90919403654104,3.5699551933706744
Japan,2021,23.448253371451376,-31.747454406007993,-57.517976821692116,3.5699551933706744
Japan,2022,46.69634998293078,23.248096611479408,99.14638946960689,3.5699551933706744
Japan,2023,24.208957504476665,-22.48739247845412,-48.15663855242236,3.5699551933706744
Japan,2024,25.22798141632988,1.019023911853214,4.209284566114746,3.5699551933706744
Japan,2025,86.58592133785439,61.357939921524505,243.2138303455701,3.5699551933706744
Malaysia,2014,5.911220752484399,,,3.3410657482253248
Malaysia,2015,4.1849613461184125,-1.7262594063659868,-29.20309490455868,3.3410657482253248
Malaysia,2016,4.180492726005269,-0.004468620113143196,-0.1067780498686775,3.3410657482253248
Malaysia,2017,4.669704600892138,0.4892118748868688,11.702253943504463,3.3410657482253248
Malaysia,2018,5.15844245920134,0.4887378583092019,10.466140796482705,3.3410657482253248
Malaysia,2019,4.748914621075614,-0.4095278381257259,-7.938982384018516,3.3410657482253248
Malaysia,2020,43.429416266324985,38.68050164524937,814.5124671979966,3.3410657482253248
Malaysia,2021,3.3308651758705174,-40.098551090454464,-92.33039386151441,3.3410657482253248
Malaysia,2022,36.220369594102785,32.889504418232264,987.4162621918983,3.3410657482253248
Malaysia,2023,5.624086575666313,-30.596283018436473,-84.4725864515143,3.3410657482253248
Malaysia,2024,5.959811337033269,0.33572476136695606,5.969409553891533,3.3410657482253248
Malaysia,2025,73.04893914932704,67.08912781229377,1125.6921405450064,3.3410657482253248
Mexico,2014,5.69462619316781,,,3.349839620195041
Mexico,2015,2.1438919406358283,-3.550734252531982,-62.3523675143421,3.349839620195041
Mexico,2016,2.142507601607299,-0.0013843390285295243,-0.06457130615076437,3.349839620195041
Mexico,2017,3.1554461338983937,1.0129385322910949,47.278176820992066,3.349839620195041
Mexico,2018,3.1725528189243306,0.01710668502593693,0.5421320567688629,3.349839620195041
Mexico,2019,4.230384329017031,1.0578315100927007,33.3432276929392,3.349839620195041
Mexico,2020,48.246946036685614,44.016561707668586,1040.4861186193039,3.349839620195041
Mexico,2021,4.796959084037432,-43.44998695264818,-90.05748658082948,3.349839620195041
Mexico,2022,40.86418926384682,36.067230179809386,751.8769609652968,3.349839620195041
Mexico,2023,5.405254066649624,-35.45893519719719,-86.77263842982507,3.349839620195041
Mexico,2024,5.695125982512921,0.28987191586329697,5.362780588831235,3.349839620195041
Mexico,2025,66.22374470142572,60.528618718912796,1062.8143943569992,3.349839620195041
Netherlands,2014,55.46542593994727,,,2.1752890860980965
Netherlands,2015,54.75379194792638,-0.711633992020893,-1.2830226757681136,2.1752890860980965
Netherlands,2016,54.42008711487784,-0.33370483304854304,-0.6094643332938715,2.1752890860980965
Netherlands,2017,68.82926703147794,14.409179916600102,26.477686237773028,2.1752890860980965
Netherlands,2018,78.84162637177536,10.012359340297422,14.546659832536694,2.1752890860980965
Netherlands,2019,72.75571783018817,-6.085908541587187,-7.719156518777613,2.1752890860980965
Netherlands,2020,75.04711203487746,2.291394204689283,3.1494352238230903,2.1752890860980965
Netherlands,2021,75.32228985293105,0.2751778180535922,0.3666734276539593,2.1752890860980965
Netherlands,2022,65.14110277975804,-10.181187073173007,-13.516831595337939,2.1752890860980965
Netherlands,2023,86.46941846058459,21.32831568082655,32.741717242548916,2.1752890860980965
Netherlands,2024,89.46488574460444,2.9954672840198526,3.464192702285003,2.1752890860980965
Netherlands,2025,65.6558760894411,-23.80900965516335,-26.612686594303568,2.1752890860980965
New Zealand,2014,4.198376546573543,,,4.251342306144637
New Zealand,2015,4.3491689507272255,0.1507924041536821,3.5916836539292696,4.251342306144637
New Zealand,2016,4.282380848474138,-0.06678810225308762,-1.5356520523747408,4.251342306144637
New Zealand,2017,4.640469750206446,0.3580889017323079,8.36191161885798,4.251342306144637
New Zealand,2018,5.894276113876927,1.2538063636704813,27.01895349311784,4.251342306144637
New Zealand,2019,5.007670850915896,-0.886605262961031,-15.041800652563447,4.251342306144637
New Zealand,2020,48.38548132143454,43.37781047051865,866.2272693618613,4.251342306144637
New Zealand,2021,3.267037596845788,-45.11844372458875,-93.24789687397714,4.251342306144637
New Zealand,2022,39.918999695605095,36.651962098759306,1121.8714511931394,4.251342306144637
New Zealand,2023,18.82694300474354,-21.092056690861554,-52.83713733233575,4.251342306144637
New Zealand,2024,13.487090005190215,-5.339852999553326,-28.362825543201165,4.251342306144637
New Zealand,2025,78.73855203083589,65.25146202564568,483.8068256424111,4.251342306144637
Nigeria,2014,0.9484489213387147,,,-0.0005579557172696606
Nigeria,2015,0.8637075715485544,-0.08474134979016035,-8.934729945240468,-0.0005579557172696606
Nigeria,2016,0.7339082458111869,-0.12979932573736752,-15.028156521153143,-0.0005579557172696606
Nigeria,2017,0.6884034405299989,-0.04550480528118794,-6.2003398300684855,-0.0005579557172696606
Nigeria,2018,0.6537004630616473,-0.0347029774683516,-5.04108135218411,-0.0005579557172696606
Nigeria,2019,0.7255063836123763,0.07180592055072899,10.984529552636605,-0.0005579557172696606
Nigeria,2020,0.226750264899349,-0.4987561187130273,-68.7459311149911,-0.0005579557172696606
Nigeria,2021,0.8787386075427723,0.6519883426434233,287.53586812030017,-0.0005579557172696606
Nigeria,2022,1.2067208344082287,0.3279822268654564,37.32420813768467,-0.0005579557172696606
Nigeria,2023,0.9128684653253395,-0.29385236908288925,-24.351313137557064,-0.0005579557172696606
Nigeria,2024,0.9137229504132357,0.0008544850878962063,0.09360440417795286,-0.0005579557172696606
Nigeria,2025,0.5275052335531013,-0.3862177168601344,-42.268580064172134,-0.0005579557172696606
Norway,2014,17.304509936727637,,,2.323973867538515
Norway,2015,14.06614478414216,-3.2383651525854766,-18.71399516326243,2.323973867538515
Norway,2016,13.764503716657932,-0.30164106748422803,-2.1444473387213465,2.323973867538515
Norway,2017,12.320669028635479,-1.443834688022454,-10.489551368823502,2.323973867538515
Norway,2018,12.577274471839875,0.25660544320439627,2.0827232888733436,2.323973867538515
Norway,2019,12.954466391169053,0.37719191932917795,2.9989956899938766,2.323973867538515
Norway,2020,54.05446901574274,41.10000262457369,317.2651144673254,2.323973867538515
Norway,2021,11.89252422924737,-42.16194478649537,-77.99899907298357,2.323973867538515
Norway,2022,43.03075450662618,31.13823027737881,261.8302866333485,2.323973867538515
Norway,2023,15.094612733820563,-27.93614177280562,-64.9213384545786,2.323973867538515
Norway,2024,15.805152191277935,0.7105394574573722,4.707238734686831,2.323973867538515
Norway,2025,57.94982966808219,42.144677476804254,266.6515131696218,2.323973867538515
Pakistan,2014,0.5920745625603798,,,1.4163628718566297
Pakistan,2015,0.558783558125002,-0.0332910044353778,-5.622772289255846,1.4163628718566297
Pakistan,2016,0.480887541491909,-0.07789601663309303,-13.940284301576996,1.4163628718566297
Pakistan,2017,0.6388822973846296,0.15799475589272066,32.85482410348095,1.4163628718566297
Pakistan,2018,0.6104324843237118,-0.028449813060917872,-4.453060161062826,1.4163628718566297
Pakistan,2019,0.6121617653056575,0.0017292809819456911,0.28328783712445016,1.4163628718566297
Pakistan,2020,18.178143758732674,17.565981993427016,2869.500022539986,1.4163628718566297
Pakistan,2021,0.4922325553456168,-17.685911203387057,-97.2921737121308,1.4163628718566297
Pakistan,2022,5.593356179114043,5.101123623768426,1036.3239018570634,1.4163628718566297
Pakistan,2023,1.3273736196702537,-4.265982559443789,-76.26874496877647,1.4163628718566297
Pakistan,2024,0.148318095975808,-1.1790555236944458,-88.82619830785448,1.4163628718566297
Pakistan,2025,33.3979669578284,33.24964886185259,22417.796455043426,1.4163628718566297
Peru,2014,2.1368283707429643,,,4.306563223618005
Peru,2015,2.307242351389752,0.1704139806467877,7.975089762943181,4.306563223618005
Peru,2016,2.151717306440264,-0.15552504494948804,-6.740732929759571,4.306563223618005
Peru,2017,2.474666209698064,0.3229489032577999,15.00889091197936,4.306563223618005
Peru,2018,2.947792287595953,0.4731260778978892,19.11878361791733,4.306563223618005
Peru,2019,2.874782661968088,-0.07300962562786495,-2.4767561111779464,4.306563223618005
Peru,2020,32.86683504412503,29.992052382156945,1043.2806896652237,4.306563223618005
Peru,2021,2.130141724518643,-30.73669331960639,-93.51887176949396,4.306563223618005
Peru,2022,47.54508403655418,45.414942312035535,2132.0150574628146,4.306563223618005
Peru,2023,3.532104169174056,-44.012979867380125,-92.57104232593541,4.306563223618005
Peru,2024,4.06083488866509,0.5287307194910338,14.969284431231022,4.306563223618005
Peru,2025,88.80417848464589,84.7433435959808,2086.845338935667,4.306563223618005
Philippines,2014,0.2890738813706677,,,2.1329783115393095
Philippines,2015,0.7415114717444015,0.45243759037373377,156.51278774424847,2.1329783115393095
Philippines,2016,0.9990708558464216,0.2575593841020202,34.73437619193041,2.1329783115393095
