state_name,year,ECO_prop_hh_microfin,OUT_hh_income_monthly,OUT_prop_saving,ACC_pop_hh_elec,SKL_fem_literacy,SRV_pop_hh_sf,AGR_fem_15_24_hyg_period,NAT_upi_total_vol,NAT_upi_total_val,NAT_upi_p2p_vol,NAT_upi_p2m_vol,NAT_ib_no_of_transactions,NAT_ib_amt_of_transactions,NAT_ib_active_users,AGR_shg_member_scale,Z_ACC_pop_hh_elec,Z_SKL_fem_literacy,Z_SRV_pop_hh_sf,Z_AGR_fem_15_24_hyg_period,Z_AGR_shg_member_scale,Z_ECO_prop_hh_microfin,Z_OUT_hh_income_monthly,Z_OUT_prop_saving,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,CTX_dpi_composite_v2,CTX_dpi_confidence_score,CTX_coverage_ratio,CTX_imputation_share,Z_CTX_dpi_composite_v2,DCLO_score_context_adjusted
Nagaland,2014,,,,97.34545454545454,0.0,77.86363636363636,71.75454545454545,,,,,,,,117673.0,0.29782306020964694,-1.0130918905549062,0.5983353217309788,-0.14732109824951684,-0.8209373495049185,,,,0.29782306020964694,-1.0130918905549062,0.5983353217309788,-0.4841292238772177,,,-0.15026568312287453,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.22058828506332118
Odisha,2014,,,,86.46666666666667,0.0,28.466666666666665,45.70333333333333,,,,,,,,5390546.0,-1.2492197523066286,-1.0130918905549062,-1.975038066934809,-1.6196615787810957,0.7433213851749092,,,,-1.2492197523066286,-1.0130918905549062,-1.975038066934809,-0.43817009680309327,,,-1.1688799516498594,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.239202553590306
Puducherry,2014,,,,99.725,0.0,75.85,90.3,,,,,,,,52746.0,0.6362117422509851,-1.0130918905549062,0.4934333760363332,0.9008152928744074,-0.8401986946703638,,,,0.6362117422509851,-1.0130918905549062,0.4934333760363332,0.03030829910202182,,,0.03671538170860847,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.03360722023183817
Punjab,2014,,,,99.55000000000001,0.0,83.35,84.53888888888889,,,,,,,,391155.0,0.6113254685956072,-1.0130918905549062,0.8841516839283537,0.5752136639650776,-0.7398057525031115,,,,0.6113254685956072,-1.0130918905549062,0.8841516839283537,-0.08229604426901699,,,0.10002230442500944,3.8577679934065,72.0,0.6,0,-0.4688173462696442,0.0296997024845628
Rajasthan,2014,,,,90.26969696969697,0.0,42.95757575757575,51.34545454545455,,,,,,,,2814434.0,-0.7084011646442544,-1.0130918905549062,-1.2201229362925299,-1.300784920834423,-0.02091202183366473,,,,-0.7084011646442544,-1.0130918905549062,-1.2201229362925299,-0.6608484713340439,,,-0.9006161157064335,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.9709387176468801
Sikkim,2014,,,,99.5,0.0,91.075,83.42500000000001,,,,,,,,45110.0,0.6042151046940685,-1.0130918905549062,1.2865915410571354,0.5122598292531005,-0.8424640023495009,,,,0.6042151046940685,-1.0130918905549062,1.2865915410571354,-0.1651020865482002,,,0.17815316716202434,3.8577679934065,72.0,0.6,0,-0.4688173462696442,0.1078305652215777
Tamil Nadu,2014,,,,98.875,0.0,49.3625,90.434375,,,,,,,,3284958.0,0.5153355559248534,-1.0130918905549062,-0.886453448002319,0.908409786027006,0.11867436245370407,,,,0.5153355559248534,-1.0130918905549062,-0.886453448002319,0.513542074240355,,,-0.2176669270980042,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.2879895290384508
The Dadra And Nagar Haveli And Daman And Diu,2014,,,,99.10000000000001,0.0,57.06666666666666,64.23333333333333,,,,,,,,2514.0,0.5473321934817721,-1.0130918905549062,-0.4850989195065713,-0.5723986346497747,-0.855100598198182,,,,0.5473321934817721,-1.0130918905549062,-0.4850989195065713,-0.7137496164239783,,,-0.41615205825092094,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-0.4864746601913676
Tripura,2014,,,,88.7,0.0,50.3,27.2,,,,,,,,417496.0,-0.9316234980379668,-1.0130918905549062,-0.8376136595158165,-2.6654173986898853,-0.7319913903270832,,,,-0.9316234980379668,-1.0130918905549062,-0.8376136595158165,-1.6987043945084843,,,-1.1202583606542933,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.1905809625947399
Uttar Pradesh,2014,,,,70.97076923076924,0.0,33.35076923076923,44.90923076923077,,,,,,,,7516717.0,-3.4528491473091885,-1.0130918905549062,-1.7205969616791783,-1.6645419991385852,1.3740745928044016,,,,-3.4528491473091885,-1.0130918905549062,-1.7205969616791783,-0.14523370316709183,,,-1.5829429256775913,3.8577679934065,72.0,0.6,0,-0.4688173462696442,-1.653265527618038
